"Gene_symbol","PC_Direction","NASH_Direction"
"TPTEP1","down","up"
"TRAF1","down","up"
"TRAF7","up","down"
"TRAM2","up","down"
"TRAP1","up","down"
"TRAPPC9","up","down"
"TREX1","up","down"
"TRHDE","down","up"
"TRIM22","down","up"
"TRIM3","up","down"
"TRIM7","down","up"
"TRIP6","down","up"
"TRIT1","up","down"
"TRMT2A","up","down"
"TRPC6","down","up"
"TRPM6","down","up"
"TRPM7","up","down"
"TRRAP","up","down"
"TSHZ2","down","up"
"TSPAN13","up","down"
"TSPAN14","up","down"
"TTC23","down","up"
"TTC36","up","down"
"TTC38","up","down"
"TTC7B","down","up"
"TTI1","up","down"
"TTLL12","up","down"
"TTLL3","down","up"
"TUBA1A","down","up"
"TUSC1","up","down"
"TUT1","up","down"
"TVP23A","down","up"
"TXNDC16","up","down"
"U2AF2","up","down"
"UBE2E2","up","down"
"UBE2Q2P1","down","up"
"UBXN10","down","up"
"UGT1A3","up","down"
"UNC13C","down","up"
"UQCRC1","up","down"
"UQCRC2","up","down"
"USF3","up","down"
"USP22","up","down"
"USP34","up","down"
"USP6NL","up","down"
"USP7","up","down"
"UTP15","up","down"
"UTRN","up","down"
"VANGL1","up","down"
"VASH1","up","down"
"VGLL3","down","up"
"VPS13A","up","down"
"VSIG2","down","up"
"VTCN1","down","up"
"WASL","up","down"
"WBP4","down","up"
"WIPF3","down","up"
"WNT10A","down","up"
"WNT2B","down","up"
"WNT4","down","up"
"WNT9B","down","up"
"WWP1","up","down"
"XAF1","down","up"
"XKR4","down","up"
"XPNPEP3","up","down"
"XPO6","up","down"
"XRCC5","up","down"
"XYLB","up","down"
"YES1","up","down"
"YPEL2","up","down"
"YTHDF1","up","down"
"YWHAE","up","down"
"ZBTB10","up","down"
"ZBTB20","down","up"
"ZC3H11A","up","down"
"ZC3H7B","up","down"
"ZDHHC15","down","up"
"ZDHHC2","down","up"
"ZFAS1","up","down"
"ZFP69","down","up"
"ZFP91","up","down"
"ZMPSTE24","up","down"
"ZNF10","down","up"
"ZNF154","down","up"
"ZNF217","up","down"
"ZNF230","down","up"
"ZNF24","up","down"
"ZNF254","up","down"
"ZNF257","down","up"
"ZNF273","down","up"
"ZNF275","up","down"
"ZNF283","down","up"
"ZNF324","down","up"
"ZNF333","down","up"
